iter	Accuracy	Logloss
0	0.672946832	0.6848756626
1	0.6734341574	0.6776091967
2	0.6722282335	0.6710166785
3	0.6730294295	0.6651363837
4	0.6739958206	0.6596509997
5	0.674615302	0.6548293502
6	0.6746896398	0.6503942588
7	0.674516185	0.646356504
8	0.6750943677	0.6427434146
9	0.6754660565	0.6393051993
10	0.6757138491	0.6361569056
11	0.6765233049	0.6332563577
12	0.6765233049	0.6307623924
13	0.6765067854	0.6285772646
14	0.676820656	0.626395978
15	0.6772666826	0.6244422135
16	0.6778283458	0.6227195364
17	0.6780183201	0.6210752854
18	0.6781587359	0.6196913164
19	0.6779192031	0.6183673514
20	0.6780596189	0.6171782419
21	0.6783156712	0.6160766069
22	0.678257853	0.6151529943
23	0.678390009	0.6141930606
24	0.6784643468	0.6132596989
25	0.6785304248	0.6124200546
26	0.6787451784	0.6116828899
27	0.6787864771	0.6109539895
28	0.6788277759	0.6103045463
29	0.6789847112	0.609674112
30	0.6791168672	0.6091328965
31	0.6790838282	0.6086506733
32	0.6793481403	0.6081366516
33	0.6793398806	0.607717478
34	0.6793151013	0.6072397841
35	0.6793811793	0.6067136302
36	0.6797363487	0.6063160497
37	0.6803806094	0.6053081642
38	0.6804384277	0.6049471023
39	0.680793597	0.6040659975
40	0.6809092336	0.6037493469
41	0.6809587921	0.6034300857
42	0.6810909481	0.6031544781
43	0.6818838844	0.6020176179
44	0.6820903782	0.601719735
45	0.6822390538	0.6011652497
46	0.6824042488	0.6009242485
47	0.6825942231	0.6007087329
48	0.6828172365	0.600489568
49	0.6832302241	0.5999509233
50	0.6831806656	0.5997241365
51	0.6834119386	0.5995206621
52	0.6839570823	0.5990089379
53	0.6839901213	0.5988141099
54	0.6841222774	0.5984085361
55	0.6841140176	0.5981917384
56	0.6845600443	0.5976420283
57	0.6846591613	0.5974830737
58	0.6849482526	0.5969266152
59	0.6852538635	0.5966146272
60	0.6855512146	0.5962410224
61	0.6855677341	0.5960767359
