iter	Passed	Remaining
0	246	122900
1	357	89073
2	448	74360
3	563	69882
4	674	66761
5	777	64018
6	868	61171
7	951	58511
8	1062	57973
9	1170	57350
10	1302	57920
11	1395	56731
12	1490	55819
13	1594	55338
14	1689	54629
15	1768	53503
16	1857	52787
17	1974	52880
18	2069	52402
19	2191	52607
20	2296	52379
21	2410	52373
22	2532	52523
23	2635	52274
24	2735	51972
25	2828	51560
26	2934	51413
27	3077	51870
28	3170	51495
29	3256	51022
30	3357	50802
31	3465	50683
32	3559	50376
33	3642	49921
34	3759	49941
35	3887	50103
36	3988	49913
37	4127	50180
38	4243	50158
39	4400	50610
40	4506	50450
41	4631	50506
42	4744	50421
43	4864	50414
44	4978	50337
45	5160	50930
46	5287	50966
47	5388	50739
48	5512	50737
49	5627	50650
50	5750	50625
51	5872	50594
52	5963	50292
53	6072	50157
54	6212	50267
55	6326	50158
56	6514	50631
57	6631	50536
58	6772	50620
59	6886	50499
60	7007	50431
61	7140	50446
62	7310	50708
63	7459	50818
64	7589	50793
65	7743	50921
66	7859	50791
67	7981	50708
68	8124	50751
69	8236	50595
70	8365	50544
71	8535	50741
72	8683	50795
73	8861	51012
74	9044	51251
75	9171	51164
76	9333	51271
77	9474	51258
78	9581	51060
79	9675	50797
80	9785	50618
81	9917	50556
82	10038	50436
83	10157	50305
84	10337	50470
85	10472	50414
86	10609	50362
87	10692	50059
88	10821	49975
89	10941	49843
90	11049	49663
91	11192	49638
92	11362	49728
93	11476	49569
94	11620	49538
95	11775	49553
96	11965	49712
97	12071	49516
98	12168	49289
99	12289	49159
100	12405	49008
101	12520	48855
102	12681	48879
103	12774	48643
104	12897	48520
105	13106	48714
106	13218	48550
107	13327	48373
108	13479	48351
109	13597	48209
110	13704	48027
111	13849	47980
112	13951	47781
113	14076	47663
114	14233	47650
115	14347	47495
116	14493	47443
117	14610	47299
118	14733	47170
119	14888	47147
120	15009	47013
121	15143	46920
122	15300	46896
123	15460	46880
124	15600	46801
125	15729	46689
126	15863	46590
127	15990	46472
128	16116	46350
129	16233	46202
130	16412	46230
131	16558	46164
132	16676	46015
133	16789	45858
134	16901	45695
135	17028	45576
136	17143	45424
137	17254	45262
138	17445	45308
139	17563	45162
140	17745	45182
141	17849	45001
142	17961	44840
143	18134	44833
144	18223	44615
145	18326	44435
146	18431	44261
147	18545	44108
148	18713	44083
149	18818	43910
150	18950	43798
151	19074	43670
152	19172	43483
153	19308	43381
154	19435	43260
155	19551	43114
156	19647	42924
157	19713	42671
158	19843	42557
159	20025	42554
160	20156	42441
161	20307	42369
162	20411	42200
163	20611	42228
164	20785	42199
165	20922	42097
166	21088	42050
167	21209	41914
168	21347	41811
169	21476	41688
170	21657	41668
171	21694	41371
172	21803	41212
173	21921	41071
174	22038	40929
175	22143	40763
176	22245	40594
177	22358	40447
178	22482	40317
179	22594	40167
180	22707	40020
181	22842	39911
182	22952	39759
183	23064	39610
184	23221	39538
185	23348	39415
186	23465	39276
187	23594	39157
188	23705	39007
189	23843	38901
190	23991	38813
191	24147	38736
192	24317	38680
193	24428	38531
194	24619	38507
195	24763	38408
196	24864	38243
197	24929	38024
198	25060	37905
199	25165	37747
200	25267	37587
201	25427	37511
202	25586	37433
203	25699	37288
204	25846	37193
205	25971	37065
206	26110	36958
207	26226	36817
208	26344	36680
209	26447	36523
210	26617	36457
211	26740	36326
212	26870	36205
213	27067	36173
214	27169	36014
215	27299	35894
216	27408	35745
217	27551	35639
218	27711	35557
219	27865	35465
220	27989	35335
221	28133	35230
222	28249	35090
223	28352	34934
224	28469	34796
225	28601	34675
226	28718	34537
227	28855	34423
228	28960	34271
229	29089	34148
230	29237	34046
231	29348	33902
232	29477	33779
233	29581	33627
234	29696	33487
235	29816	33354
236	29947	33233
237	30080	33113
238	30249	33034
239	30379	32910
240	30532	32812
241	30666	32693
242	30791	32565
243	30903	32423
244	31035	32302
245	31185	32199
246	31302	32062
247	31424	31931
248	31538	31791
249	31684	31684
250	31813	31559
251	31920	31413
252	32067	31306
253	32185	31171
254	32295	31029
255	32418	30899
256	32526	30754
257	32647	30622
258	32789	30510
259	32947	30412
260	33068	30281
261	33183	30143
262	33306	30013
263	33439	29893
264	33559	29760
265	33733	29675
266	33848	29538
267	33960	29398
268	34074	29260
269	34193	29127
270	34304	28987
271	34416	28849
272	34533	28714
273	34668	28595
274	34782	28458
275	34889	28315
276	35021	28194
277	35137	28059
278	35240	27914
279	35359	27782
280	35501	27668
281	35649	27559
282	35754	27416
283	35867	27279
284	36015	27169
285	36134	27037
286	36250	26903
287	36396	26791
288	36525	26667
289	36654	26542
290	36764	26404
291	36876	26268
292	36980	26126
293	37103	25997
294	37215	25861
295	37351	25741
296	37498	25629
297	37621	25502
298	37748	25376
299	37862	25241
300	37998	25122
301	38139	25005
302	38253	24871
303	38426	24775
304	38533	24636
305	38664	24513
306	38782	24381
307	38915	24259
308	39036	24129
309	39147	23993
310	39298	23882
311	39420	23753
312	39570	23641
313	39686	23508
314	39807	23379
315	39929	23250
