,Premis Desc,Premis Cd
0,SINGLE FAMILY DWELLING,501.0
1,SIDEWALK,102.0
2,POLICE FACILITY,726.0
3,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",502.0
4,BEAUTY SUPPLY STORE,409.0
5,NIGHT CLUB (OPEN EVENINGS ONLY),735.0
6,DEPARTMENT STORE,404.0
9,OTHER BUSINESS,203.0
10,STREET,101.0
11,PARKING LOT,108.0
12,HOTEL,503.0
14,"COFFEE SHOP (STARBUCKS, COFFEE BEAN, PEET'S, ETC.)",252.0
19,ALLEY,103.0
20,CONDOMINIUM/TOWNHOUSE,507.0
27,PUBLIC RESTROOM/OUTSIDE*,148.0
33,GARAGE/CARPORT,707.0
34,MTA BUS,801.0
39,NURSING/CONVALESCENT/RETIREMENT HOME,510.0
42,MINI-MART,401.0
46,"VEHICLE, PASSENGER/TRUCK",122.0
49,OTHER STORE,406.0
58,GROUP HOME,514.0
60,MTA - RED LINE - UNION STATION,900.0
63,RESTAURANT/FAST FOOD,210.0
66,MTA - RED LINE - PERSHING SQUARE,902.0
82,DRUG STORE,403.0
86,"GOVERNMENT FACILITY (FEDERAL,STATE, COUNTY & CITY)",725.0
90,SINGLE RESIDENCE OCCUPANCY (SRO'S) LOCATIONS,516.0
92,PARKING UNDERGROUND/BUILDING,123.0
98,MOTEL,505.0
101,HOSPITAL,701.0
104,DRIVEWAY,104.0
143,MARKET,402.0
144,LA UNION STATION (NOT LINE SPECIFIC),834.0
147,MISSIONS/SHELTERS,517.0
160,BAR/COCKTAIL/NIGHTCLUB,207.0
165,TOW YARD*,151.0
167,DETENTION/JAIL FACILITY,753.0
178,OTHER PREMISE,710.0
187,CELL PHONE STORE,248.0
195,CLOTHING STORE,405.0
198,BANK,602.0
205,MTA - BLUE LINE - 7TH AND METRO CENTER,931.0
231,OTHER/OUTSIDE,116.0
232,STAPLES CENTER *,741.0
261,CONSTRUCTION SITE,118.0
273,MEDICAL/DENTAL OFFICES,719.0
281,MTA - RED LINE - 7TH AND METRO CENTER,903.0
295,LIQUOR STORE,202.0
297,TOBACCO SHOP,244.0
304,HIGH-RISE BUILDING,744.0
323,MUNICIPAL BUS LINE INCLUDES LADOT/DASH,802.0
341,OTHER RESIDENCE,504.0
344,BUS STOP,124.0
359,MTA - PURPLE LINE - PERSHING SQUARE,917.0
