,Weapon Desc,Weapon Used Cd
0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400.0
1,UNKNOWN WEAPON/OTHER WEAPON,500.0
10,ROCK/THROWN OBJECT,306.0
11,VERBAL THREAT,511.0
19,FOLDING KNIFE,204.0
42,BLUNT INSTRUMENT,302.0
43,BOTTLE,212.0
47,SEMI-AUTOMATIC PISTOL,109.0
48,CLUB/BAT,304.0
71,OTHER CUTTING INSTRUMENT,218.0
87,HAND GUN,102.0
93,PHYSICAL PRESENCE,515.0
97,VEHICLE,307.0
99,SCISSORS,216.0
103,STICK,308.0
115,MACHETE,215.0
190,OTHER KNIFE,207.0
306,SHOTGUN,104.0
334,KNIFE WITH BLADE 6INCHES OR LESS,200.0
337,FIRE,506.0
361,ICE PICK,214.0
374,GLASS,221.0
394,SIMULATED GUN,113.0
464,KNIFE WITH BLADE OVER 6 INCHES IN LENGTH,201.0
513,DEMAND NOTE,504.0
652,BOMB THREAT,501.0
663,PIPE/METAL PIPE,312.0
674,UNKNOWN FIREARM,106.0
749,MACE/PEPPER SPRAY,512.0
984,HAMMER,311.0
1052,RAZOR,208.0
1140,OTHER FIREARM,107.0
1439,BELT FLAILING INSTRUMENT/CHAIN,301.0
1442,UNKNOWN TYPE CUTTING INSTRUMENT,223.0
1503,SCREWDRIVER,219.0
1520,KITCHEN KNIFE,205.0
1552,AIR PISTOL/REVOLVER/RIFLE/BB GUN,114.0
1631,BRASS KNUCKLES,303.0
1957,REVOLVER,101.0
2094,SWITCH BLADE,206.0
3500,STUN GUN,513.0
3615,AXE,211.0
3620,RIFLE,103.0
3737,ASSAULT WEAPON/UZI/AK47/ETC,115.0
4416,ANTIQUE FIREARM,116.0
5071,FIXED OBJECT,305.0
5075,SEMI-AUTOMATIC RIFLE,110.0
6746,CAUSTIC CHEMICAL/POISON,503.0
7129,TIRE IRON,514.0
9825,MARTIAL ARTS WEAPONS,508.0
10275,CONCRETE BLOCK/BRICK,310.0
10330,BOARD,309.0
10446,DIRK/DAGGER,203.0
10532,TOY GUN,112.0
14941,HECKLER & KOCH 93 SEMIAUTOMATIC ASSAULT RIFLE,122.0
18312,EXPLOXIVE DEVICE,505.0
19440,SAWED OFF RIFLE/SHOTGUN,105.0
25004,DOG/ANIMAL (SIC ANIMAL ON),516.0
26800,SYRINGE,220.0
28380,SCALDING LIQUID,510.0
29740,RAZOR BLADE,210.0
29886,CLEAVER,213.0
31048,ROPE/LIGATURE,509.0
38746,BOW AND ARROW,502.0
41714,AUTOMATIC WEAPON/SUB-MACHINE GUN,108.0
43425,LIQUOR/DRUGS,507.0
45485,SWORD,217.0
58038,M1-1 SEMIAUTOMATIC ASSAULT RIFLE,123.0
59498,STARTER PISTOL/REVOLVER,111.0
91695,BOWIE KNIFE,202.0
94293,STRAIGHT RAZOR,209.0
109505,BLACKJACK,300.0
114388,RELIC FIREARM,125.0
136554,HECKLER & KOCH 91 SEMIAUTOMATIC ASSAULT RIFLE,121.0
243281,UNK TYPE SEMIAUTOMATIC ASSAULT RIFLE,117.0
